Clone	Target	Chromosome	Position	Bad_P	Log2Rat	RawRat	Log2StdDev	NReplic	FISH_2	FISH	WI_cR	WI_cM	WI-RH	G3	GB4	cM_MGD	CM	MARKER_NAMES	MAP_SOURCE	MAPPING_NAME	DNASOURCE_DESCRIPTION	CLONENOTES	KB_POSITION	WELL_ID	USER_CLONE_ID
RP11-252I13	HumArray1H3_M16	5	551	0	-0.048770	0.966760	0.073220	3	21	5q21					457.93		114.7	AFM164ZG5;D5S475	fishClones.txt	RP11-252I13	MSD9		116845	HumArray1H3_M16	RP11-252I13
CTD-2079J2	HumArray1H5_E10	5	552	0	0.040375	1.028381	0.030066	3	14.7	5q21					459.75			J03358;FER	refflat.txt	FER	MSD31		117977	HumArray1H5_E10	CTD-2079J2
RP11-13O21	HumArray1H3_M17	5	553	0	-0.087996	0.940829	0.021413	3		5q21-5q22							118.9	AFMA143XE5	fishClones.txt	RP11-13O21	MSD9		122140	HumArray1H3_M17	RP11-13O21
CTC-317F16	HumArray1S1_A31	5	554	0	-0.020362	0.985985	0.017210	3	2	5q21-q22								STSG51914;SHGC-31463	stsMap.txt	RH94067	MSD35		122742	HumArray1S1_A31	CTC-317F16
CTD-2141B2	HumArray1H5_H6	5	555	0	0.124002	1.089754	0.017515	3	2	5q22-5q23					471.95			WI-18946;MCC	stsMap.txt	RH60427	MSD31		122922	HumArray1H5_H6	CTD-2141B2
RP11-64F17	HumArray1H3_I34	5	556	0	-0.030273	0.979235	0.036436	3	3	5q22							121.4	AFM210VD6	fishClones.txt	RP11-64F17	MSD7		123281	HumArray1H3_I34	RP11-64F17
RP11-58G19	HumArray1H3_M18	5	557	0	0.014372	1.010012	0.020710	3		5q22-5q23.1							121.7	AFMC031XB5	fishClones.txt	RP11-58G19	MSD9		124283	HumArray1H3_M18	RP11-58G19
RP11-81C5	HumArray1H3_M19	5	558	0	-0.081713	0.944935	0.040254	3	3.1	5q22-5q23							125.6	AFMB355WF5	fishClones.txt	RP11-81C5	MSD9		125889	HumArray1H3_M19	RP11-81C5
RP11-73N22	HumArray1H5_I28	5	559	0	0.035710	1.025061	0.055234	3	21	5q23.1					476.42		127.9	AFM220YG5;D5S494	fishClones.txt	RP11-73N22	MSD3		127951	HumArray1H5_I28	RP11-73N22
RP11-15P5	HumArray1H3_E2	5	560	0	-0.042395	0.971041	0.032563	3	6.42	5q23.1							130.1	AFM308XF1	fishClones.txt	RP11-15P5	MSD5		131411	HumArray1H3_E2	RP11-15P5
RP11-47L19	HumArray1H3_M21	5	561	0	-0.005010	0.996533	0.041479	2		5q23.1				4736	496.07		131.2	AFM127XD10;D5S467	fishClones.txt	RP11-47L19	MSD9		132396	HumArray1H3_M21	RP11-47L19
RP11-265M23	HumArray1H3_M20	5	562	0	-0.069818	0.952758	1000000.000000	1		5q23				4807	491.05		130.6	AFM205ZD4;D5S622	fishClones.txt	RP11-265M23	MSD9		133550	HumArray1H3_M20	RP11-265M23
RP11-209F21	HumArray1H3_M22	5	563	0	-0.034340	0.976478	1000000.000000	1	q23	5q23				4930			132.8	AFMC006XF9;D5S2059	fishClones.txt	RP11-209F21	MSD9		135877	HumArray1H3_M22	RP11-209F21
RP11-42M12	HumArray1H3_M23	5	564	0	-0.019954	0.986264	0.028623	2	3	5q23					505.91		135.1	AFM292ZE9;D5S649	fishClones.txt	RP11-42M12	MSD9		138190	HumArray1H3_M23	RP11-42M12
RP11-45L19	HumArray1H3_J11	5	565	0	-0.078117	0.947293	0.015965	2	3	5q23					502.04		134.4	AFM286XG9;D5S642	fishClones.txt	RP11-45L19	MSD8		139322	HumArray1H3_J11	RP11-45L19
CTD-2004C12	HumArray1H5_M6	5	566	0	-0.111338	0.925729	0.009885	3	.04	5q23-5q31								GM-CSF?	fishClones.txt	CTD-2004C12	MSD36		143584	HumArray1H5_M6	CTD-2004C12
RP11-4E3	HumArray1H3_J12	5	567	0	-0.063284	0.957083	0.043285	3		5q31.1							137.2	AFMB354ZC9	fishClones.txt	RP11-4E3	MSD8		145762	HumArray1H3_J12	RP11-4E3
CTD-2141C20	HumArray1H5_H2	5	568	0	0.031371	1.021983	0.042035	3		5q31					502.06			SGC35447;TCF7	stsMap.txt	RH59909	MSD31		146119	HumArray1H5_H2	CTD-2141C20
RP11-21C10	HumArray1H3_E3	5	569	0	0.005847	1.004061	0.023670	3	04	5q31.1							138.7	AFM042XF8	fishClones.txt	RP11-21C10	MSD5		146484	HumArray1H3_E3	RP11-21C10
RP11-21J3	HumArray1H3_M24	5	570	0	-0.111493	0.925629	0.027728	3	1	5q31							141.4	AFM066XF11	fishClones.txt	RP11-21J3	MSD9		147376	HumArray1H3_M24	RP11-21J3
RP11-233E5	HumArray1H3_M25	5	571	0	-0.013139	0.990934	0.015842	3	3	5q31				5268			141.4	AFM200YA9;D5S414	fishClones.txt	RP11-233E5	MSD9		150983	HumArray1H3_M25	RP11-233E5
RP1-98O22	HumArray1S1_A32	5	572	0	-0.035801	0.975490	0.000000	2		5q31								D5S2415;SHGC-11945	stsMap.txt	WI-8265	MSD35		151042	HumArray1S1_A32	RP1-98O22
CTD-2113L13	HumArray1H5_N17	5	573	0	-0.193995	0.874182	0.005767	2	31	5q31								M34065;CDC25C	stsMap.txt	RH69126	MSD37		151227	HumArray1H5_N17	CTD-2113L13
RP11-115I4	HumArray1H3_J13	5	574	0	-0.140357	0.907294	1000000.000000	1	31	5q31.1-5q32							142.5	AFMA102ZF1	fishClones.txt	RP11-115I4	MSD8		153658	HumArray1H3_J13	RP11-115I4
RP11-55M16	HumArray1H3_M26	5	575	0	-0.012628	0.991285	0.012205	2	5q32	5q31.3							143.7	AFMA217XD1	fishClones.txt	RP11-55M16	MSD9		154986	HumArray1H3_M26	RP11-55M16
RP11-14K13	HumArray1H3_E4	5	576	0	-0.006386	0.995583	0.004138	3		5q31.3-5q32							144.8	AFMB074XG1	fishClones.txt	RP11-14K13	MSD5		155825	HumArray1H3_E4	RP11-14K13
RP11-82P23	HumArray1H3_M27	5	577	0	-0.003075	0.997871	0.011561	3	1.3-5q32	5q32					571.86		150	AFM198ZH6;D5S413	INTERPOL_CM		MSD9		162134	HumArray1H3_M27	RP11-82P23
RP11-216N13	HumArray1H3_M28	5	578	0	-0.142971	0.905652	0.106823	3	q32	5q32							149.9	AFMA052TH5	fishClones.txt	RP11-216N13	MSD9		162217	HumArray1H3_M28	RP11-216N13
RP11-109G16	HumArray1H3_J14	5	579	0	-0.098540	0.933977	0.004318	2	3	5q32				5495			150.1	AFM276WD5;D5S434	fishClones.txt	RP11-109G16	MSD8		162217	HumArray1H3_J14	RP11-109G16
RP1-141L3	HumArray1S1_H8	5	580	0	0.077507	1.055193	0.011637	3	;D5S434	5q33								D5S2619	refflat.txt	CSF1R	MSD36		164465	HumArray1S1_H8	RP1-141L3
CTD-2202A14	HumArray1H5_H1	5	581	0	-0.088910	0.940233	0.006308	3	.1	5q32								stSG15286;TCOF1	stsMap.txt	RH45058	MSD31		165047	HumArray1H5_H1	CTD-2202A14
RP11-128C13	HumArray1H3_J15	5	582	0	0.020107	1.014035	1000000.000000	1		5q32-5q33				5588	580.51		152.8	AFM144ZH4;D5S470	fishClones.txt	RP11-128C13	MSD8		165394	HumArray1H3_J15	RP11-128C13
CTD-2118L22	HumArray1H5_H4	5	583	0	0.062449	1.044237	0.025308	3	8	5q32					583.96			stSG38917;Glra1	fishClones.txt	CTD-2118L22	MSD31		166486	HumArray1H5_H4	CTD-2118L22
RP11-109B15	HumArray1H3_M29	5	584	0	-0.053524	0.963580	0.018006	3	.96	5q33							155.5	AFM329TF5	stsMap.txt	AFM329TF5	MSD9		166737	HumArray1H3_M29	RP11-109B15
RP11-86C20	HumArray1H3_M30	5	585	0	-0.111918	0.925357	0.044669	2		5q33					587.01		156	AFM191XD8;D5S410	fishClones.txt	RP11-86C20	MSD9		168133	HumArray1H3_M30	RP11-86C20
RP11-170L13	HumArray1H3_E5	5	586	0	-0.022801	0.984320	0.020280	3	587.01	5q33							156.8	AFM311VF9	stsMap.txt	AFM311VF9	MSD5		171573	HumArray1H3_E5	RP11-170L13
RP11-31B18	HumArray1H3_M31	5	587	0	-0.022023	0.984851	0.015356	2	5q33	5q33.2				5752	589.64		157.6	AFM210VG3;D5S487	fishClones.txt	RP11-31B18	MSD9		171776	HumArray1H3_M31	RP11-31B18
RP11-47O12	HumArray1H3_M32	5	588	0	-0.062355	0.957700	1000000.000000	1	3.2	5q33.2				5757			159.2	AFMA083XB9;D5S2112	fishClones.txt	RP11-47O12	MSD9		173111	HumArray1H3_M32	RP11-47O12
RP11-82E8	HumArray1H3_J16	5	589	0	-0.030039	0.979394	0.017678	3	3	5q33-5q34				5768	591.46		160.4	AFMB343XE9;D5S2049	fishClones.txt	RP11-82E8	MSD8		174683	HumArray1H3_J16	RP11-82E8
RP11-4J6	HumArray1H3_M33	5	590	0	-0.024168	0.983387	0.007663	3	5q34	5q33-5q34				5782	591.56		161	AFM198WE11;D5S412	fishClones.txt	RP11-4J6	MSD9		175170	HumArray1H3_M33	RP11-4J6
RP11-90N23	HumArray1H3_M35	5	591	0	-0.017667	0.987829	0.011227	2	-5q34	5q34				5843			162.2	AFM136XD2;D5S403	fishClones.txt	RP11-90N23	MSD9		177242	HumArray1H3_M35	RP11-90N23
RP11-210K16	HumArray1H3_M34	5	592	0	-0.096418	0.935352	0.031259	2		5q34							161.6	AFMA102ZG9	fishClones.txt	RP11-210K16	MSD9		178123	HumArray1H3_M34	RP11-210K16
RP11-88J19	HumArray1H3_M36	5	593	0	-0.042574	0.970921	0.032190	2	34	5q34							163.9	AFM211YC7	fishClones.txt	RP11-88J19	MSD9		179683	HumArray1H3_M36	RP11-88J19
RP11-94L2	HumArray1H3_E6	5	594	0	-0.058935	0.959973	0.014695	3		5q34				5942			164.9	AFMC033XH1;D5S2066	fishClones.txt	RP11-94L2	MSD5		180729	HumArray1H3_E6	RP11-94L2
RP11-173F9	HumArray1H3_N2	5	595	0	-0.027240	0.981296	0.028166	3	2	5q34							168.5	AFMB317YD9	fishClones.txt	RP11-173F9	MSD9		182847	HumArray1H3_N2	RP11-173F9
RP11-128E4	HumArray1H3_N1	5	596	0	-0.063828	0.956722	0.045690	3	2	5q34							168.5	AFMB317YD9	fishClones.txt	RP11-128E4	MSD9		182860	HumArray1H3_N1	RP11-128E4
RP11-35O10	HumArray1H3_N3	5	597	0	0.058009	1.041028	0.011424	3		5q34				5989	624.96		172.6	AFM234VH4;D5S496	fishClones.txt	RP11-35O10	MSD9		185500	HumArray1H3_N3	RP11-35O10
RP11-14K9	HumArray1H3_N4	5	598	0	-0.021998	0.984868	0.033375	3	34	5q34-5q35				6076			174.3	AFM112YB6;D5S400	fishClones.txt	RP11-14K9	MSD9		187024	HumArray1H3_N4	RP11-14K9
RP11-15F10	HumArray1H3_J17	5	599	0	-0.001246	0.999137	0.021407	3	3	5q34-5q35				6098	628.42		175.3	AFM265VG5;D5S504	fishClones.txt	RP11-15F10	MSD8		187785	HumArray1H3_J17	RP11-15F10
RP11-182E4	HumArray1H3_N5	5	600	1				0	098	5q34-5q35							176.9	AFM210VF12	fishClones.txt	RP11-182E4	MSD9		188876	HumArray1H3_N5	RP11-182E4
RP11-9I14	HumArray1H3_N6	5	601	0	-0.038728	0.973513	1000000.000000	1	34-5q35	5q35							178.5	AFM102XC1	fishClones.txt	RP11-9I14	MSD9		190061	HumArray1H3_N6	RP11-9I14
RP11-69A18	HumArray1H3_E7	5	602	0	0.006502	1.004517	0.042783	3	q34-5q35	5q35					635.02		179.1	AFM242XB10;D5S429	fishClones.txt	RP11-69A18	MSD5		190080	HumArray1H3_E7	RP11-69A18
RP11-88L12	HumArray1H3_N7	5	603	0	0.002942	1.002042	0.028801	3	5.02	5q35							179.8	AFM057XH8	fishClones.txt	RP11-88L12	MSD9		191478	HumArray1H3_N7	RP11-88L12
RP11-105L4	HumArray1H3_N8	5	604	0	0.029311	1.020524	0.024700	3	5.02	5q35							182.4	AFM302WC9	fishClones.txt	RP11-105L4	MSD9		191960	HumArray1H3_N8	RP11-105L4
RP11-48K2	HumArray1H3_N9	5	605	0	-0.043176	0.970516	0.016622	2	34-5q35	5q35				6192	636.94		182.4	AFM350XH1;D5S677	fishClones.txt	RP11-48K2	MSD9		191975	HumArray1H3_N9	RP11-48K2
RP11-125L2	HumArray1H3_N10	5	606	0	-0.093964	0.936945	1000000.000000	1	6192	5q35							183.8	AFMC005WG1	fishClones.txt	RP11-125L2	MSD9		192449	HumArray1H3_N10	RP11-125L2
CTD-2262N19	HumArray1H5_N18	5	607	0	-0.131528	0.912864	0.096574	3	2	5q34								stSG46851;FGFR4	fishClones.txt	CTD-2262N19	MSD37		196378	HumArray1H5_N18	CTD-2262N19
RP11-51D11	HumArray1H3_N11	5	608	0	-0.046632	0.968194	0.017627	3		5q35							195	AFM323YH1	fishClones.txt	RP11-51D11	MSD9		197504	HumArray1H3_N11	RP11-51D11
RP11-2I16	HumArray1H3_J18	5	609	1				0	5q34	5q35							190.9	AFMB307ZA9	fishClones.txt	RP11-2I16	MSD8		199886	HumArray1H3_J18	RP11-2I16
RP1-240G13	HumArray1S1_A34	5	610	0	-0.060881	0.958678	0.007881	3		5 q tel								5 q tel	TELOMERE		MSD35		200000	HumArray1S1_A34	RP1-240G13
GS1-196I5	HumArray1S1_A35	6	611	0	0.044327	1.031202	0.032264	2	q tel	6 p tel								6 p tel	TELOMERE		MSD35		0	HumArray1S1_A35	GS1-196I5
RP11-53P21	HumArray1H3_J19	6	612	0	-0.072910	0.950719	0.020273	3	4	6p24-6p25							6.4	AFMA074ZD1	fishClones.txt	RP11-53P21	MSD8		5392	HumArray1H3_J19	RP11-53P21
RP11-24N8	HumArray1H3_E8	6	613	0	-0.110079	0.926537	0.016323	2		6p25					30.46		8.6	AFM088YH3;D6S1685	fishClones.txt	RP11-24N8	MSD5		6725	HumArray1H3_E8	RP11-24N8
RP11-168G4	HumArray1H3_J20	6	614	0	-0.064590	0.956217	0.001054	2	35	6p24					39.18		11.4	AFMA341YB1;D6S1598	fishClones.txt	RP11-168G4	MSD8		8046	HumArray1H3_J20	RP11-168G4
RP11-177C16	HumArray1H3_V6	6	615	0	-0.071817	0.951439	0.003118	3	-5q35	6p24				216	39.48		12.1	AFMA132YF5;D6S1547	fishClones.txt	RP11-177C16	MSD13		8475	HumArray1H3_V6	RP11-177C16
RP11-1J24	HumArray1H5_I30	6	616	0	0.029763	1.020845	0.025756	3	6p24	6p24				267	42.35		13.6	AFM296ZB1;D6S1674	fishClones.txt	RP11-1J24	MSD3		9005	HumArray1H5_I30	RP11-1J24
RP11-66E14	HumArray1H3_J21	6	617	0	0.006841	1.004753	0.018942	3	5	6p24							14.2	AFM207XH2	fishClones.txt	RP11-66E14	MSD8		9905	HumArray1H3_J21	RP11-66E14
RP11-126J14	HumArray1H3_E9	6	618	0	-0.090438	0.939238	0.009267	3	24	6p23					48.05		23.9	AFMA306ZH5;D6S1593	fishClones.txt	RP11-126J14	MSD5		15150	HumArray1H3_E9	RP11-126J14
RP11-83B17	HumArray1H3_J22	6	619	0	-0.033047	0.977354	0.030947	2	8.05	6p23							25.9	AFMB337WG9	fishClones.txt	RP11-83B17	MSD8		16331	HumArray1H3_J22	RP11-83B17
RP11-113K20	HumArray1H3_J23	6	620	0	0.008305	1.005773	0.012675	3	4	6p23					58.69		29.6	AFMB296XG5;D6S1630	fishClones.txt	RP11-113K20	MSD8		18288	HumArray1H3_J23	RP11-113K20
CTD-2094H4	HumArray1H5_F32	6	621	0	-0.012125	0.991631	0.003618	3	9	6p22.3-6p23					60.1			stSG6805;SCA1	stsMap.txt	RH71007	MSD32		18778	HumArray1H5_F32	CTD-2094H4
RP11-88E14	HumArray1H3_V7	6	622	0	0.039529	1.027779	0.027467	2		6p22.3-6p23				1017	64.13		30.8	AFM199YE5;D6S288	fishClones.txt	RP11-88E14	MSD13		18841	HumArray1H3_V7	RP11-88E14
RP11-163E21	HumArray1H3_J24	6	623	0	-0.008506	0.994122	0.054508	3	1017	6p22							32.4	AFMA288ZG9	fishClones.txt	RP11-163E21	MSD8		19104	HumArray1H3_J24	RP11-163E21
RP11-22P23	HumArray1H3_V8	6	624	0	-0.019975	0.986250	0.026670	3	p23	6p22-6p23					69.66		32.9	AFMC024XB9;D6S1667	fishClones.txt	RP11-22P23	MSD13		19398	HumArray1H3_V8	RP11-22P23
RP11-43B4	HumArray1H3_J25	6	625	0	-0.005932	0.995897	0.010863	3		6p22-6p23							34.2	AFMA059ZE1	fishClones.txt	RP11-43B4	MSD8		22866	HumArray1H3_J25	RP11-43B4
RP11-159C8	HumArray1H3_E10	6	626	0	-0.107728	0.928048	0.002663	3	23	6p22				1119	81.72		35.7	AFM234XA3;D6S422	fishClones.txt	RP11-159C8	MSD5		23191	HumArray1H3_E10	RP11-159C8
CTD-2018P8	HumArray1H5_G18	6	627	0	0.058945	1.041704	0.109708	3		6p22.3								stSG15990;E2F3	refflat.txt	E2F3	MSD32		23258	HumArray1H5_G18	CTD-2018P8
RP11-3D15	HumArray1H3_V9	6	628	0	-0.075837	0.948792	0.010627	2	.72	6p22.3							38	AFMA340ZB5	fishClones.txt	RP11-3D15	MSD13		24464	HumArray1H3_V9	RP11-3D15
RP11-273J1	HumArray1H3_J26	6	629	0	0.014472	1.010082	1000000.000000	1	1119	6p22.3							39.3	AFMA045XH1	fishClones.txt	RP11-273J1	MSD8		24778	HumArray1H3_J26	RP11-273J1
RP11-53I19	HumArray1H3_V10	6	630	0	-0.040207	0.972515	0.007748	3	3	6p22.3				1309	94.22		40.2	AFMB355WG5;D6S1660	fishClones.txt	RP11-53I19	MSD13		26158	HumArray1H3_V10	RP11-53I19
RP11-224B15	HumArray1H3_E11	6	631	0	-0.057176	0.961143	0.011539	2	3	6p22.3				1298	95.9		41.3	AFM316ZG5;D6S461	fishClones.txt	RP11-224B15	MSD5		26437	HumArray1H3_E11	RP11-224B15
RP11-52C20	HumArray1H3_V11	6	632	0	-0.031497	0.978405	0.020610	2	.9	6p22							41.3	AFM217XG7	fishClones.txt	RP11-52C20	MSD13		26692	HumArray1H3_V11	RP11-52C20
RP11-145M23	HumArray1H3_J27	6	633	0	-0.014087	0.990283	0.016290	2	.9	6p22							42	AFMA183WB5	fishClones.txt	RP11-145M23	MSD8		27488	HumArray1H3_J27	RP11-145M23
CTD-2144B12	HumArray1H5_F33	6	634	0	-0.031981	0.978076	0.017686	3	2	6p22					104.32			sts-U60319;HFE	refflat.txt	HFE	MSD32		29731	HumArray1H5_F33	CTD-2144B12
RP11-2P4	HumArray1H3_J28	6	635	0	-0.029116	0.980021	0.022782	3		6p22.1				1437			44.3	AFM248XH1;D6S306	fishClones.txt	RP11-2P4	MSD8		31464	HumArray1H3_J28	RP11-2P4
CTD-2130B14	HumArray1H5_N22	6	636	0	-0.173752	0.886534	0.006824	2	437	6p21.2								SHGC-11076;TNF	refflat.txt	TNF	MSD37		35184	HumArray1H5_N22	CTD-2130B14
RP11-119C22	HumArray1H3_V12	6	637	0	-0.030040	0.979393	0.020589	2	.1	6p21.3							48.4	AFMB293XF9	fishClones.txt	RP11-119C22	MSD13		37323	HumArray1H3_V12	RP11-119C22
RP11-54H13	HumArray1H3_E12	6	638	1				0	3	6p21.3				1845	118.53		45.4	AFMC019YC5;D6S1666	fishClones.txt	RP11-54H13	MSD5		40077	HumArray1H3_E12	RP11-54H13
RP11-197P9	HumArray1H3_J29	6	639	0	-0.078326	0.947156	0.003135	3		6p21.2-6p21.3				1998			48.2	AFM268XE1;D6S439	fishClones.txt	RP11-197P9	MSD8		41904	HumArray1H3_J29	RP11-197P9
RP11-139J19	HumArray1H3_V13	6	640	0	-0.066091	0.955223	0.007389	2	3.2	6p21.2-6p21.3				2142	129.45		49.8	AFM203YG7;D6S291	fishClones.txt	RP11-139J19	MSD13		43017	HumArray1H3_V13	RP11-139J19
CTD-2118F18	HumArray1H5_G17	6	641	0	-0.030761	0.978904	0.019569	2	.45	6p21.2					134.05			U09579;CDKN1A	stsMap.txt	RH70551	MSD32		43406	HumArray1H5_G17	CTD-2118F18
CTD-2122A15	HumArray1H5_N19	6	642	1				0		6p21								SHGC-9756;PIM1	stsMap.txt	RH8721	MSD37		43973	HumArray1H5_N19	CTD-2122A15
RP11-174E21	HumArray1H3_E13	6	643	0	-0.108753	0.927389	0.003202	3	.2-6p21.3	6p21.2					139.68		52.6	AFMA134VD5;D6S1548	fishClones.txt	RP11-174E21	MSD5		44375	HumArray1H3_E13	RP11-174E21
RP11-136C6	HumArray1H3_V14	6	644	0	-0.013577	0.990633	0.008421	3	.68	6p21.2							53.9	AFMB024YG1	fishClones.txt	RP11-136C6	MSD13		45944	HumArray1H3_V14	RP11-136C6
RP11-133J6	HumArray1H3_J30	6	645	0	-0.060414	0.958989	0.013697	3	1.2	6p21.2							54	AFM337YD1	fishClones.txt	RP11-133J6	MSD8		45970	HumArray1H3_J30	RP11-133J6
RP11-14G23	HumArray1H3_V16	6	646	0	-0.041660	0.971536	1000000.000000	1	.68	6p21.2							59.6	AFMB014YF5	fishClones.txt	RP11-14G23	MSD13		47657	HumArray1H3_V16	RP11-14G23
RP11-105P7	HumArray1H3_V15	6	647	0	0.255697	1.193912	1000000.000000	1	-6p21.3	6p21.2				2362	146.38		58.2	AFM164XF4;D6S1562	fishClones.txt	RP11-105P7	MSD13		47905	HumArray1H3_V15	RP11-105P7
RP11-10M23	HumArray1H3_E14	6	648	0	-0.026656	0.981693	0.018910	3	-6p21.3	6p21.1				2489	162.76		65.2	AFMA272ZB5;D6S1582	fishClones.txt	RP11-10M23	MSD5		50544	HumArray1H3_E14	RP11-10M23
RP11-91H14	HumArray1H3_V17	6	649	0	-0.032167	0.977950	0.009279	2	6p21.1	6p21.1				2545			66.4	AFM298WE1;D6S451	fishClones.txt	RP11-91H14	MSD13		50951	HumArray1H3_V17	RP11-91H14
RP11-121G20	HumArray1H3_V18	6	650	0	-0.035370	0.975781	0.015598	3		6p21.1					166.65		68.7	AFMB334YG9;D6S1650	fishClones.txt	RP11-121G20	MSD13		51576	HumArray1H3_V18	RP11-121G20
RP11-40P17	HumArray1H3_E15	6	651	0	-0.120657	0.919769	0.017389	3	.1	6p12				2863	195.55		73.9	AFM079XA5;D6S427	fishClones.txt	RP11-40P17	MSD5		54198	HumArray1H3_E15	RP11-40P17
RP11-39C2	HumArray1H5_I31	6	652	0	0.071124	1.050535	0.048502	3	2	6p12				2704	178.19		72.2	AFM301WB9;D6S452	fishClones.txt	RP11-39C2	MSD3		55306	HumArray1H5_I31	RP11-39C2
RP11-3M23	HumArray1H3_J31	6	653	0	-0.011164	0.992292	1000000.000000	1	2	6p12.3					176.19		71.5	AFMB336ZH9;D6S1651	fishClones.txt	RP11-3M23	MSD8		55689	HumArray1H3_J31	RP11-3M23
RP11-58P9	HumArray1H3_V19	6	654	0	-0.027673	0.981001	0.059602	2	651	6p12							72.8	AFM015XG5	INTERPOL_CM		MSD13		55713	HumArray1H3_V19	RP11-58P9
RP11-7H16	HumArray1H3_V20	6	655	0	-0.026384	0.981878	0.017456	2		6p12					203.24		77.6	AFMB283WE9;D6S1623	fishClones.txt	RP11-7H16	MSD13		61744	HumArray1H3_V20	RP11-7H16
RP11-284E1	HumArray1H3_J32	6	656	0	-0.001140	0.999210	1000000.000000	1	.24	6p12							77.6	AFMA230XA5	fishClones.txt	RP11-284E1	MSD8		62138	HumArray1H3_J32	RP11-284E1
RP11-146B10	HumArray1H3_V21	6	657	0	-0.044338	0.969735	0.031495	3		6p12.1							78.2	AFMB314WH5	fishClones.txt	RP11-146B10	MSD13		64011	HumArray1H3_V21	RP11-146B10
RP11-111P16	HumArray1H3_E16	6	658	0	-0.088935	0.940217	0.012170	3		6p12				3048			79.4	AFM240YD6;D6S428	fishClones.txt	RP11-111P16	MSD5		64191	HumArray1H3_E16	RP11-111P16
RP3-445N2	HumArray1S1_A36	6	659	0	-0.052190	0.964471	0.030917	3	3048	6p12.1-p21.1								D6S414	fishClones.txt	RP3-445N2	MSD35		64950	HumArray1S1_A36	RP3-445N2
RP11-164C22	HumArray1H3_V22	6	660	0	-0.042306	0.971101	0.026045	3	3	6q11.1-6q11.2					277.02		81.6	AFMA054ZH9;D6S1695	fishClones.txt	RP11-164C22	MSD13		71439	HumArray1H3_V22	RP11-164C22
RP11-277K21	HumArray1H3_J33	6	661	0	0.005216	1.003622	0.017078	2	77.02	6q12-6q13							80.8	AFMB291ZB5	stsMap.txt	AFMB291ZB5	MSD8		73212	HumArray1H3_J33	RP11-277K21
CTD-2009C6	HumArray1H5_F34	6	662	0	-0.001304	0.999096	0.026604	3		6q12					298.97			stSG6355;PTP4A1	refflat.txt	PTP4A1	MSD32		73400	HumArray1H5_F34	CTD-2009C6
RP11-2M9	HumArray1H3_V23	6	663	0	0.024376	1.017040	0.042241	3		6q12-6q13							83.6	AFM295TB3	fishClones.txt	RP11-2M9	MSD13		82072	HumArray1H3_V23	RP11-2M9
RP11-121K16	HumArray1H3_E17	6	664	0	-0.067432	0.954335	0.021382	3	.02	6q12-6q13							85	AFM343VC1	fishClones.txt	RP11-121K16	MSD5		82544	HumArray1H3_E17	RP11-121K16
RP11-28P18	HumArray1H3_V24	6	665	0	-0.014094	0.990278	0.015181	3	2	6q13-6q14							88.8	AFMB352WC1	fishClones.txt	RP11-28P18	MSD13		85490	HumArray1H3_V24	RP11-28P18
RP11-217L13	HumArray1H3_J34	6	666	0	0.019194	1.013393	0.034820	2	.1-6q11.2	6q14				3836	342.94		90	AFM191XA3;D6S284	fishClones.txt	RP11-217L13	MSD8		90187	HumArray1H3_J34	RP11-217L13
RP11-32O2	HumArray1H3_J35	6	667	0	-0.056099	0.961861	0.053893	3	q14	6q15					374.96		93.2	AFM199ZF12;D6S1601	fishClones.txt	RP11-32O2	MSD8		96947	HumArray1H3_J35	RP11-32O2
RP11-52B15	HumArray1H3_E18	6	668	0	-0.047130	0.967860	0.018416	3	2	6q14-6q15				4108	390.74		96.1	AFMB321ZB1;D6S1644	fishClones.txt	RP11-52B15	MSD5		102175	HumArray1H3_E18	RP11-52B15
RP11-13I21	HumArray1H3_V25	6	669	0	0.001659	1.001150	0.015016	3	q15	6q15-6q16.1					398.1		99	AFMA223WD9;D6S1570	fishClones.txt	RP11-13I21	MSD13		103801	HumArray1H3_V25	RP11-13I21
RP11-113K7	HumArray1H3_J36	6	670	0	-0.029254	0.979927	0.009260	2	1	6q15							100.9	AFMB296XH1	fishClones.txt	RP11-113K7	MSD8		105186	HumArray1H3_J36	RP11-113K7
RP11-14G17	HumArray1H3_V26	6	671	0	-0.051532	0.964911	0.015345	3	.2	6q16.1-6q16.2				4600	432.78		107.2	AFM119YB6;D6S1717	fishClones.txt	RP11-14G17	MSD13		114247	HumArray1H3_V26	RP11-14G17
CTD-2026K7	HumArray1H5_N21	6	672	0	-0.308843	0.807289	0.131047	2		6q22								M74091;CCNC	stsMap.txt	RH17736	MSD37		114610	HumArray1H5_N21	CTD-2026K7
RP11-14I4	HumArray1H3_E19	6	673	0	-0.034928	0.976080	0.020932	3	2	6q16							108	AFM288VG5	fishClones.txt	RP11-14I4	MSD5		115079	HumArray1H3_E19	RP11-14I4
RP11-73D20	HumArray1H3_E20	6	674	0	-0.130155	0.913734	0.032002	3	1-6q16.2	6q16.3				4709	443.52		109.2	AFM123YA7;D6S434	fishClones.txt	RP11-73D20	MSD6		117042	HumArray1H3_E20	RP11-73D20
RP11-47E20	HumArray1H5_I32	6	675	0	0.038795	1.027255	0.041832	3	1-6q16.2	6q16-6q21.1				4817			113.4	AFM164YA5;D6S1563	fishClones.txt	RP11-47E20	MSD3		120586	HumArray1H5_I32	RP11-47E20
